Year SSA-Mean -2SE +2SE
900 0.483 -0.384 1.35
901 0.373 -0.494 1.24
902 0.093 -0.774 0.96
903 0.153 -0.714 1.02
904 0.403 -0.464 1.27
905 0.573 -0.294 1.44
906 0.573 -0.294 1.44
907 0.183 -0.684 1.05
908 -0.097 -0.964 0.77
909 0.483 -0.384 1.35
910 -0.057 -0.924 0.81
911 -0.187 -1.054 0.68
912 -0.057 -0.924 0.81
913 0.073 -0.794 0.94
914 0.103 -0.764 0.97
915 0.203 -0.664 1.07
916 0.493 -0.374 1.36
917 -0.537 -1.404 0.33
918 0.043 -0.824 0.91
919 0.313 -0.554 1.18
920 0.163 -0.704 1.03
921 0.053 -0.814 0.92
922 0.123 -0.744 0.99
923 0.193 -0.674 1.06
924 0.183 -0.684 1.05
925 0.683 -0.184 1.55
926 0.373 -0.494 1.24
927 0.063 -0.804 0.93
928 0.523 -0.344 1.39
929 0.463 -0.404 1.33
930 0.643 -0.224 1.51
931 0.653 -0.214 1.52
932 0.273 -0.594 1.14
933 0.233 -0.634 1.1
934 0.483 -0.384 1.35
935 0.253 -0.614 1.12
936 0.143 -0.724 1.01
937 -0.007 -0.874 0.86
938 0.193 -0.674 1.06
939 0.263 -0.604 1.13
940 0.433 -0.434 1.3
941 0.423 -0.444 1.29
942 0.263 -0.604 1.13
943 0.313 -0.554 1.18
944 0.623 -0.244 1.49
945 0.353 -0.514 1.22
946 -0.397 -1.264 0.47
947 -0.177 -1.044 0.69
948 -0.427 -1.294 0.44
949 0.033 -0.834 0.9
950 0.123 -0.744 0.99
951 -0.037 -0.904 0.83
952 -0.157 -1.024 0.71
953 -0.137 -1.004 0.73
954 0.413 -0.454 1.28
955 0.223 -0.644 1.09
956 0.053 -0.814 0.92
957 -0.167 -1.034 0.7
958 -0.097 -0.964 0.77
959 -0.437 -1.304 0.43
960 -0.357 -1.224 0.51
961 -0.347 -1.214 0.52
962 -0.267 -1.134 0.6
963 -0.157 -1.024 0.71
964 -0.467 -1.334 0.4
965 -0.327 -1.194 0.54
966 -0.567 -1.434 0.3
967 -0.237 -1.104 0.63
968 0.033 -0.834 0.9
969 0.303 -0.564 1.17
970 -0.197 -1.064 0.67
971 -0.097 -0.964 0.77
972 -0.247 -1.114 0.62
973 -0.047 -0.914 0.82
974 -0.077 -0.944 0.79
975 -0.267 -1.134 0.6
976 -0.047 -0.914 0.82
977 0.173 -0.694 1.04
978 -0.357 -1.224 0.51
979 -0.137 -1.004 0.73
980 0.193 -0.674 1.06
981 0.233 -0.634 1.1
982 -0.067 -0.934 0.8
983 -0.457 -1.324 0.41
984 -0.007 -0.874 0.86
985 -0.227 -1.094 0.64
986 0.413 -0.454 1.28
987 -0.257 -1.124 0.61
988 -0.107 -0.974 0.76
989 0.253 -0.614 1.12
990 -0.057 -0.924 0.81
991 0.053 -0.814 0.92
