year,asia_pop_share,asia_wa_pop_share,asia_pop_share_ae,asia_wa_pop_share_ae,asia_gdp_share,asia_wa_gdp_share,asia_gdp_share_ae,asia_wa_gdp_share_ae,pop_kind,gdp_kind,gdp_series
-10000,0.14194,0.18791,0.33773,0.44712,,,,,modelled,,
-9000,0.17487,0.22501,0.38495,0.49532,,,,,modelled,,
-8000,0.21179,0.26634,0.43085,0.54182,,,,,modelled,,
-7000,0.25731,0.31596,0.48093,0.59055,,,,,modelled,,
-6000,0.30787,0.37872,0.52229,0.64248,,,,,modelled,,
-5000,0.35975,0.45668,0.55152,0.70011,,,,,modelled,,
-4000,0.41946,0.52934,0.58552,0.7389,,,,,modelled,,
-3000,0.47705,0.58125,0.61698,0.75175,,,,,modelled,,
-2000,0.52706,0.63185,0.63708,0.76374,,,,,modelled,,
-1000,0.54918,0.64868,0.64022,0.75621,,,,,modelled,,
0,0.63937,0.70838,0.69884,0.77427,,,,,modelled,,
1,,,,,0.66346,0.73044,0.72078,0.78419,,assumption,reconstructed_pre1820_chained
100,0.62082,0.69658,0.68111,0.76423,0.64207,0.71552,0.70162,0.77119,modelled,assumption,reconstructed_pre1820_chained
200,0.59875,0.68293,0.65983,0.75259,0.61695,0.69865,0.67909,0.75653,modelled,assumption,reconstructed_pre1820_chained
300,0.56305,0.65983,0.62839,0.73641,0.57634,0.67198,0.64624,0.737,modelled,assumption,reconstructed_pre1820_chained
400,0.58669,0.67332,0.65484,0.75153,0.60142,0.68599,0.6701,0.75033,modelled,assumption,reconstructed_pre1820_chained
500,0.61112,0.69064,0.6832,0.7721,0.63082,0.70807,0.69916,0.77238,modelled,assumption,reconstructed_pre1820_chained
600,0.63936,0.71179,0.71406,0.79496,0.66564,0.73555,0.73184,0.79803,modelled,assumption,reconstructed_pre1820_chained
700,0.61912,0.69044,0.69454,0.77454,0.64004,0.7096,0.70759,0.77346,modelled,assumption,reconstructed_pre1820_chained
800,0.59553,0.66604,0.67103,0.75048,0.61248,0.68144,0.68092,0.74621,modelled,assumption,reconstructed_pre1820_chained
900,0.59115,0.65958,0.66662,0.74379,0.60948,0.6748,0.67627,0.73824,modelled,assumption,reconstructed_pre1820_chained
1000,0.57694,0.63968,0.65416,0.7253,0.59561,0.65335,0.66341,0.71827,modelled,estimate,reconstructed_pre1820_chained
1100,0.62261,0.66848,0.69696,0.74831,0.63935,0.68008,0.69903,0.73787,modelled,estimate,reconstructed_pre1820_chained
1200,0.60579,0.64946,0.67745,0.72629,0.61539,0.65251,0.67403,0.70959,modelled,estimate,reconstructed_pre1820_chained
1300,0.54568,0.58667,0.61493,0.66112,0.54874,0.58181,0.60852,0.64039,modelled,estimate,reconstructed_pre1820_chained
1400,0.56721,0.60488,0.64942,0.69256,0.58035,0.61132,0.64504,0.67488,modelled,estimate,reconstructed_pre1820_chained
1500,0.56139,0.59675,0.64054,0.68089,0.55657,0.58594,0.62076,0.64924,modelled,estimate,reconstructed_pre1820_chained
1600,0.59669,0.63865,0.61088,0.65384,0.56148,0.59481,0.58801,0.61841,modelled,estimate,reconstructed_pre1820_chained
1700,0.60639,0.64222,0.62175,0.65849,0.56965,0.59813,0.59831,0.6245,modelled,estimate,reconstructed_pre1820_chained
1710,0.60637,0.64154,0.62221,0.6583,,,,,modelled,,
1720,0.61069,0.64469,0.62699,0.6619,,,,,modelled,,
1730,0.60975,0.64306,0.62658,0.66081,,,,,modelled,,
1740,0.61345,0.64572,0.63071,0.66389,,,,,modelled,,
1750,0.6266,0.65711,0.64412,0.67548,,,,,modelled,,
1760,0.63018,0.65975,0.64815,0.67856,,,,,modelled,,
1770,0.63521,0.66376,0.65359,0.68297,,,,,modelled,,
1780,0.65261,0.67923,0.67114,0.69851,,,,,modelled,,
1790,0.65559,0.68143,0.67464,0.70123,,,,,modelled,,
1800,0.66501,0.68949,0.68287,0.708,0.56764,0.59007,0.60466,0.62596,estimate,estimate,reconstructed_pre1820_chained
1810,0.66345,0.68762,0.68276,0.70763,,,,,estimate,,
1820,0.66053,0.68376,0.68194,0.70592,0.53219,0.55352,0.55491,0.57715,estimate,estimate,maddison_regional
1830,0.6527,0.67519,0.67622,0.69952,,,,,estimate,,
1840,0.63705,0.65923,0.66384,0.68695,,,,,estimate,,
1850,0.61911,0.64106,0.65031,0.67337,0.43692,0.45742,0.47605,0.49839,estimate,estimate,maddison_regional
1860,0.59516,0.61749,0.63148,0.65517,,,,,estimate,,
1870,0.57573,0.59831,0.61613,0.6403,0.35377,0.37183,0.40976,0.43067,estimate,estimate,maddison_regional
1880,0.56128,0.58356,0.60638,0.63045,,,,,estimate,,
1890,0.55219,0.57383,0.6027,0.62632,,,,,estimate,,
