year,region,gdp_share,gdp_share_afroeurasia,gdp_2011usd_millions,source,kind,series
1,Western Offshoots,0.0052,,1450541.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
1,Latin America,0.05146,,13691352.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
1,Western Europe,0.12768,0.12353,31120759.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
1,Sub Saharan Africa,0.02543,0.03145,7923797.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
1,North Africa,0.0247,0.03093,7791993.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
1,West Asia,0.06698,0.06341,15975226.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
1,Eastern Europe,0.03508,0.02989,7529764.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
1,South and South East Asia,0.38121,0.43724,110151497.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
1,East Asia,0.28225,0.28354,71430656.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
100,Western Offshoots,0.00533,,1512461.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
100,Latin America,0.05387,,14585527.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
100,Western Europe,0.13387,0.12958,33199876.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
100,Sub Saharan Africa,0.02839,0.03513,8999651.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
100,North Africa,0.0259,0.03246,8315860.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
100,West Asia,0.07345,0.06957,17824054.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
100,Eastern Europe,0.03713,0.03164,8107263.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
100,South and South East Asia,0.39518,0.45349,116187792.0,Maddison Project Database 2023 gdppc x HYDE/OWID population,assumption,reconstructed_pre1820_chained
