year,region,population_thousands,pop_share,pop_share_afroeurasia,source,kind,series
-10000,Western Offshoots,575.4,0.12797,,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-10000,Latin America,2031.4,0.45177,,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-10000,Western Europe,71.8,0.01597,0.03799,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-10000,Sub Saharan Africa,174.1,0.03871,0.09211,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-10000,North Africa,54.9,0.01221,0.02904,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-10000,West Asia,206.7,0.04597,0.10939,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-10000,Eastern Europe,744.0,0.16547,0.39373,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-10000,South and South East Asia,387.0,0.08607,0.20479,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-10000,East Asia,251.2,0.05587,0.13294,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-9000,Western Offshoots,608.2,0.10709,,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-9000,Latin America,2491.3,0.43865,,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-9000,Western Europe,100.9,0.01777,0.03913,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-9000,Sub Saharan Africa,240.1,0.04227,0.09305,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-9000,North Africa,84.9,0.01495,0.03291,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-9000,West Asia,284.7,0.05014,0.11037,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-9000,Eastern Europe,876.1,0.15426,0.33959,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-9000,South and South East Asia,586.2,0.10321,0.22721,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-9000,East Asia,407.0,0.07166,0.15774,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-8000,Western Offshoots,646.5,0.08854,,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
-8000,Latin America,3066.1,0.41991,,HYDE 3.2 via Our World in Data,modelled,owid_hyde_un
