entity,code,year,full_flowering_date,average_last_30_years
Japan,JPN,812,92,
Japan,JPN,815,105,
Japan,JPN,831,96,
Japan,JPN,851,108,
Japan,JPN,853,104,
Japan,JPN,864,100,
Japan,JPN,866,106,
Japan,JPN,869,95,
Japan,JPN,889,104,
Japan,JPN,891,109,
Japan,JPN,892,108,
Japan,JPN,894,106,
Japan,JPN,895,104,
Japan,JPN,896,104,
Japan,JPN,902,102,
Japan,JPN,908,98,
Japan,JPN,912,95,
Japan,JPN,913,110,104
Japan,JPN,914,,104
Japan,JPN,915,,104
Japan,JPN,916,,104
Japan,JPN,917,95,103.181816
Japan,JPN,918,,103.181816
Japan,JPN,919,,103.1
Japan,JPN,920,,103.1
Japan,JPN,923,104,
Japan,JPN,926,98,
Japan,JPN,930,97,
Japan,JPN,933,106,
Japan,JPN,941,109,
Japan,JPN,949,107,
Japan,JPN,950,95,
Japan,JPN,955,89,
Japan,JPN,957,112,
Japan,JPN,958,109,
Japan,JPN,959,97,
Japan,JPN,960,101,
Japan,JPN,961,87,101.2
Japan,JPN,962,,101.2
Japan,JPN,963,94,100
Japan,JPN,964,,100
Japan,JPN,965,104,100.36364
Japan,JPN,966,98,100.166664
Japan,JPN,967,103,100.38461
Japan,JPN,968,,100.38461
Japan,JPN,969,98,100.21429
Japan,JPN,970,,100.21429
Japan,JPN,971,,99.53846
Japan,JPN,972,107,100.07143
Japan,JPN,973,,100.07143
Japan,JPN,974,108,100.6
Japan,JPN,975,101,100.625
Japan,JPN,976,,100.625
Japan,JPN,977,112,101.29412
Japan,JPN,978,,101.29412
Japan,JPN,979,104,101.117645
Japan,JPN,980,,101.5
Japan,JPN,981,,101.5
Japan,JPN,982,,101.5
Japan,JPN,983,,101.5
Japan,JPN,984,,101.5
Japan,JPN,985,94,101.8125
Japan,JPN,986,,101.8125
Japan,JPN,987,,101.13333
Japan,JPN,988,,100.57143
Japan,JPN,989,100,100.78571
Japan,JPN,990,,100.76923
Japan,JPN,991,104,102.07692
Japan,JPN,992,,102.07692
Japan,JPN,993,,102.75
Japan,JPN,994,,102.75
Japan,JPN,995,,102.63636
Japan,JPN,996,,103.1
Japan,JPN,1000,105,
Japan,JPN,1004,117,
Japan,JPN,1006,100,
Japan,JPN,1007,106,
Japan,JPN,1014,115,
Japan,JPN,1016,111,
Japan,JPN,1017,99,
